u1,u2,y1
27.1,73,100
27.1,72,100
27.1,72,100
27.1,72,100
27.1,72,100
27.1,72,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
26.7,75,100
26.7,77,100
26.2,79,100
26,79,100
26.2,79,100
26.2,79,100
26.2,79,100
26.2,79,100
26.2,79,100
26.2,79,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,81,100
25.8,81,100
25.8,81,100
25.8,81,100
25.8,80,100
25.8,81,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,80,100
25.8,79,100
25.8,79,100
25.8,79,100
25.8,78,100
26.2,78,100
25.8,78,100
25.8,79,100
25.8,78,100
25.8,78,100
25.8,79,100
25.8,79,100
25.8,78,100
25.8,77,100
25.8,78,100
25.8,78,100
25.8,77,100
25.8,78,100
25.8,78,100
25.8,78,100
25.8,78,100
25.8,78,100
25.8,78,100
25.8,78,100
25.8,78,100
25.8,78,100
25.3,79,100
25.5,79,100
25.4,79,100
25.3,79,100
25.3,80,100
25.3,80,100
25.3,80,100
25.3,80,100
25.3,81,100
25.3,80,100
25.3,80,100
25.3,80,100
24.8,81,100
24.8,81,100
24.8,81,100
24.8,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,81,100
25.3,80,100
25.8,80,100
25.8,80,100
26,79,100
26.2,78,100
26.2,78,100
26.2,77,100
26.2,77,100
26.7,77,100
26.7,77,100
27.1,77,100
27.1,77,100
27.1,77,100
27.1,77,100
27.1,77,100
27.1,76,100
27.1,77,100
27.1,76,100
27.1,76,100
27.1,75,100
27.2,75,100
27.6,75,100
27.6,74,100
27.1,75,100
27.1,75,100
27.1,75,100
27.1,75,100
27.1,75,100
27.1,76,100
27.1,76,100
27.6,76,100
27.6,76,100
27.1,75,100
27.1,76,100
26.7,77,100
26.7,77,100
27.1,78,100
27.6,77,100
27.6,77,100
27.6,77,100
27.1,77,100
26.7,79,100
26.3,79,100
26.7,79,100
26.7,79,100
27.1,79,100
27.2,79,100
27.6,77,100
28,76,100
28,74,100
28.5,74,100
28.5,74,100
28.5,73,100
28.5,72,100
28.5,72,100
28.5,72,100
28.5,73,100
28.5,73,100
28,75,100
28,76,100
28,76,100
28,76,100
28,75,100
28.1,74,100
28,74,100
28,74,100
28,73,100
28,74,100
28,74,100
27.6,76,100
27.6,76,100
28,75,100
28,74,100
28,74,100
27.6,75,100
27.6,75,100
27.6,75,100
27.6,75,100
27.6,76,100
27.6,76,100
27.6,76,100
27.6,76,100
28,76,100
27.6,76,100
27.6,76,100
27.6,76,100
27.6,77,100
27.6,78,100
27.6,78,100
27.6,77,100
27.6,77,100
27.6,77,100
27.6,77,100
27.6,76,100
27.6,77,100
27.6,77,100
27.6,77,100
27.6,76,100
27.6,76,100
27.6,74,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,74,100
27.6,75,100
27.6,74,100
27.6,74,100
27.6,74,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.6,73,100
27.2,73,100
27.1,73,100
27.1,74,100
27.1,74,100
27.1,74,100
27.1,74,100
27.1,74,100
27.1,73,100
27.6,73,100
27.1,74,100
27.1,74,100
27.1,74,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,73,100
27.1,74,100
27.1,74,100
27.1,74,100
27.1,74,100
27.1,75,100
27.1,74,100
27.1,75,100
27.1,75,100
27.1,75,100
27.1,75,100
27.1,76,100
27.1,76,100
27.1,77,100
27.1,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.7,77,100
26.3,77,100
26.2,77,100
26.2,77,100
