u1,u2,y1
26.7,86,39
26.7,86,38
26.7,86,40
26.7,86,38
26.3,87,37
26.6,87,36
26.7,87,38
26.7,87,44
26.7,86,48
26.7,86,52
26.2,86,52
26.2,87,54
26.2,88,58
26.2,87,59
26.2,86,55
26.2,87,62
25.8,87,60
26.2,88,51
26.2,87,51
26.2,87,57
26.2,86,54
26.2,87,58
26.2,87,59
26.2,87,63
26.2,87,56
26.2,87,57
26.2,87,58
25.8,87,60
26.2,87,58
26.2,86,59
26.2,86,60
25.8,86,63
25.9,87,63
26.2,86,64
26.2,86,64
26.2,85,65
26.2,86,65
26.2,86,65
25.8,87,68
25.8,87,68
25.8,87,71
25.8,87,72
25.8,87,66
25.8,87,67
25.8,86,70
25.8,86,72
25.8,86,69
26.2,86,78
26.2,85,87
25.8,86,94
25.8,85,94
25.8,85,99
25.8,86,98
26.2,85,100
25.8,86,100
25.8,86,100
25.8,86,100
25.8,86,100
25.8,86,100
26.2,86,100
26.2,85,100
26.2,86,100
26.2,86,100
26.2,86,100
26.2,86,100
25.8,87,100
26.2,87,100
26.2,86,100
26.2,87,100
26.2,87,100
26.2,87,100
26.2,87,100
26.2,88,100
25.8,88,100
26.2,88,100
26.2,88,100
26.2,88,100
26.2,88,100
26.2,87,100
26.7,87,100
26.2,87,100
26.7,87,100
26.7,86,100
26.7,86,100
26.7,86,100
26.7,86,100
26.7,86,100
27.1,86,100
27.1,86,100
27.1,85,100
27.1,85,100
27.6,85,100
27.6,84,100
27.6,84,100
27.1,85,100
27.1,85,100
27.2,86,100
27.6,85,100
27.6,83,100
28,82,100
27.7,83,100
28,81,100
28,82,100
28,82,100
28.1,82,100
28.5,81,100
28.5,81,100
28,80,100
28,82,100
27.6,83,100
27.6,84,80
27.1,86,61
27.1,88,36
26.7,86,51
26.7,85,43
26.7,86,21
26.7,85,19
26.2,85,19
26.7,85,20
26.2,85,20
26.2,86,20
26.6,87,20
26.2,88,20
26.2,87,20
26.7,87,26
26.7,87,27
26.7,87,27
26.7,87,26
26.7,87,28
26.9,86,27
27.1,86,29
26.7,88,29
27.1,87,28
27.1,86,30
27.1,86,34
26.7,87,33
26.7,89,19
26.7,88,23
26.2,89,22
26.2,90,22
26.2,90,23
26.2,90,23
25.8,90,23
25.8,90,16
25.8,90,18
25.8,90,18
25.8,90,20
25.8,90,22
25.8,91,22
26.2,90,25
25.8,90,27
25.3,90,26
25.8,91,25
25.8,91,27
25.8,91,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,13
25.3,90,20
25.3,90,14
25.3,90,14
25.3,91,14
25.3,92,12
25.3,92,16
25.3,92,11
25.8,91,12
25.8,90,12
25.8,89,15
25.8,89,12
25.8,88,12
25.8,88,13
25.3,89,13
25.8,89,13
25.8,89,13
25.8,88,13
25.8,88,13
26.2,88,14
25.8,89,14
25.8,88,14
25.8,88,14
26.2,88,15
25.8,88,16
26.2,88,12
26.2,88,13
25.8,89,13
25.8,90,15
25.8,92,13
25.8,92,14
25.8,92,13
26.2,91,14
26.2,90,14
26.2,90,12
26.2,89,15
26.2,89,13
26.2,89,14
26.2,89,13
26.2,89,15
26.2,89,15
26.2,89,15
25.8,88,15
25.8,88,15
25.8,88,15
25.8,88,15
25.3,89,15
25.3,90,15
25.3,90,15
25.3,90,18
24.8,90,14
25.3,90,14
25.3,90,13
25.3,90,16
25.3,90,16
,,
